Name,Region,Latitude,Longitude,Elev
1, Lopevi  ,-16.51,168.35,3
1, Shishaldin  ,54.76,-163.97,2
1, Tolbachik  ,55.83,160.33,2
1, Fuego  ,14.47,-90.88,2
1, Nyamuragira  ,-1.41,29.2,2
1, Slamet  ,-7.24,109.21,2
1, Gaua  ,-14.27,167.5,2
1, Ambrym  ,-16.25,168.12,2
1, Lengai Ol Doinyo  ,-2.75,35.9,3
1, Azul Cerro  ,-35.65,-70.76,2
1, Semeru  ,-8.11,112.92,3
1, Trident  ,58.24,-155.1,3
1, Chikurachki  ,50.33,155.46,2
1, Tolbachik  ,55.83,160.33,2
1, Kerinci  ,-1.81,101.26,2
1, Deception Island  ,-62.97,-60.65,3
1, Redoubt  ,60.48,-152.74,3
1, Gaua  ,-14.27,167.5,2
1, Slamet  ,-7.24,109.21,2
1, Etna  ,37.73,15,2
1, Redoubt  ,60.48,-152.74,3
1, Fuego  ,14.47,-90.88,3
1, San Miguel  ,13.43,-88.27,2
1, Sangeang Api  ,-8.18,119.06,2
1, Fournaise Piton de la  ,-21.23,55.71,2
1, Pavlof  ,55.42,-161.89,2
1, Bagana  ,-6.14,155.19,3
1, Tolbachik  ,55.83,160.33,2
1, Kelut  ,-7.93,112.31,4
1, Soputan  ,1.11,124.72,3
1, Kerinci  ,-1.81,101.26,2
1, San Miguel  ,13.43,-88.27,2
1, Taal  ,14,120.99,3
1, Awu  ,3.67,125.5,4
1, Fuego  ,14.47,-90.88,3
1, Lokon-Empung  ,1.36,124.79,2
1, Redoubt  ,60.48,-152.74,3
1, Kuchinoerabu-jima  ,30.44,130.22,2
1, Rincon de la Vieja  ,10.83,-85.32,3
1, Manam  ,-4.1,145.06,2
1, Bezymianny  ,55.98,160.59,3
1, Karymsky  ,54.05,159.43,3
1, Asama  ,36.4,138.53,2
1, Pacaya  ,14.38,-90.6,3
1, Karthala  ,-11.75,43.38,2
1, Kliuchevskoi  ,56.06,160.64,3
1, Suretamatai  ,-13.8,167.47,2
1, Gaua  ,-14.27,167.5,3
1, Taal  ,14,120.99,4
1, Sarychev Peak  ,48.09,153.2,2
1, Negro Cerro  ,12.51,-86.7,2
1, Llaima  ,-38.69,-71.73,2
1, Sangeang Api  ,-8.18,119.06,2
1, Ambrym  ,-16.25,168.12,2
